1stclosing,2ndclosing,3rdclosing,4thclosing,5thclosing,6thopening
110.4092301716,109.85614698978,110.41910665699,110.34997125926,108.70059819918,108.45368606444
109.85614698978,110.41910665699,110.34997125926,108.70059819918,108.5919568599,105.38209910824
110.41910665699,110.34997125926,108.70059819918,108.5919568599,108.63146280145,105.25370479817
110.34997125926,108.70059819918,108.5919568599,108.63146280145,105.78703500922,105.9944412024
108.70059819918,108.5919568599,108.63146280145,105.78703500922,104.40432705466,105.59938178681
108.5919568599,108.63146280145,105.78703500922,104.40432705466,107.09073108066,109.71787619432
108.63146280145,105.78703500922,104.40432705466,107.09073108066,106.45863601572,108.52282146217
105.78703500922,104.40432705466,107.09073108066,106.45863601572,109.51047000114,108.94751033393
104.40432705466,107.09073108066,106.45863601572,109.51047000114,109.68824673815,108.72035116996
107.09073108066,106.45863601572,109.51047000114,109.68824673815,109.04627518782,107.18949593456
106.45863601572,109.51047000114,109.68824673815,109.04627518782,107.49566698164,109.60923485504
109.51047000114,109.68824673815,109.04627518782,107.49566698164,108.47343903522,109.45598830184
109.68824673815,109.04627518782,107.49566698164,108.47343903522,109.6426726625,111.48003979109
109.04627518782,107.49566698164,108.47343903522,109.6426726625,109.54441773584,111.66672415175
107.49566698164,108.47343903522,109.6426726625,109.54441773584,111.55864373242,111.8828849904
108.47343903522,109.6426726625,109.54441773584,111.55864373242,111.73550260041,113.37635987567
109.6426726625,109.54441773584,111.55864373242,111.73550260041,112.48224004304,112.31520666772
109.54441773584,111.55864373242,111.73550260041,112.48224004304,113.57286972899,115.89168599823
111.55864373242,111.73550260041,112.48224004304,113.57286972899,116.18645077821,115.0565191216
111.73550260041,112.48224004304,113.57286972899,116.18645077821,115.59692121824,114.77157983428
112.48224004304,113.57286972899,116.18645077821,115.59692121824,114.56524448828,114.82070729761
113.57286972899,116.18645077821,115.59692121824,114.56524448828,115.01721715093,115.20390151159
116.18645077821,115.59692121824,114.56524448828,115.01721715093,115.07617010693,116.11767232955
115.59692121824,114.56524448828,115.01721715093,115.07617010693,115.42006235025,115.28250545292
114.56524448828,115.01721715093,115.07617010693,115.42006235025,115.49866629158,115.82290754956
115.01721715093,115.07617010693,115.42006235025,115.49866629158,115.57727023291,114.75192884894
115.07617010693,115.42006235025,115.49866629158,115.57727023291,114.9386132096,115.30215643825
